사용자,평점,댓글 내용,감정
이동진 평론가,3,눈길을 끄는 설정에 맞게 제대로 캐스팅한 후 명확한 목표지점을 향해 질주한다.,긍정
JY,3,"그 상황에 모두 최선을 다한다는게
이 영화의 미덕이고
중반까지 나름 힘있게 유지한다
.
.
하지만
라스트씬은 반드시
그의 손으로 끝을봐야겠다고 결론지어놓고
역산하듯 진행되는 후반부가
매우매우매우 아쉽다
그 고집을 위해서
인물들이 하나둘씩
바보가 되기 시작하기 때문에",긍정
손정빈 기자,3,"난 이 영화에 불만이 없다. 의도한대로 만들었고, 목표를 달성한 영화였다.

물론 한 장면 씩 따지고 들어가면 다양한 비판을 할 수 있을 것이다. 하지만 이 영화 내에 있는 다소 엉성한 부분들은 미처 생각하지 못한 게 아니라 미리 생각하고 포기한 것들로 보인다. 별점으로 얘기하자면 애초에 별 세 개 이상을 받을 생각이 없는 영화랄까. 다른 건 상관하지 않고, 관객과 함께 아무 생각 없이 1시간30분을 내달리는 것. 그게 '인질'의 목표다. 난 이게 영화의 역할 중 하나라고 생각한다. 많은 관객이 이런 영화를 원할 것이다.

이 영화의 가장 큰 힘은 캐스팅이다. '1000만 배우 황정민' 납치됐다는 설정은 캐스팅으로 성립한다. 이 영화에 출연하는 배우 중 관객이 얼굴을 알 만한 배우는 황정민 외에 없다. 말하자면, 정말 황정민이 납치된 느낌을 준다는 것이다.

이 선택엔 꽤나 용기가 필요했을 거라고 본다. 황정민이 국내 최고 흥행 배우이긴 해도 뒷받침해줄 배우를 생각 안 할 수는 없지 않나. 그런데 '인질'은 그걸 과감하게 내려놨다(그렇게 제작비도 줄였다). 그게 이 영화를 살리는 길이라고 생각했을 것이다. '배우 황정민이 납치됐다'는 다소 유치한 설정은 그렇게 힘을 갖게 됐다.

황정민 납치범으로 나오는 배우들의 연기가 매우 인상적이다. 앞으로 많은 작품에서 이들의 얼굴을 볼 수 있을 것 같다.

(이 캐스팅에 대해선 앞으로 쓰게 될 기사에서 다뤄보고 싶다. '캐스팅이 곧 메시지'라는 식의 기사가 될 것 같다.)

다만 아쉬운 게 있다면, 이렇게 캐스팅을 잘해놓고 다소 전형적인 캐릭터를 만들어버렸다는 점이다. 황정민 납치범들이 전형성을 벗어나 더 거칠고 더 리얼했다면 긴장감은 배가 됐을 것이다.",긍정
겨울비,2,"실제 황정민이 납치 되었다는 설정만 새로울뿐 모든건 예상 가능한, 보아온 것들의 총집합

+ 몇몇 배우 제외하곤 전체적인 연기톤이 너무나 연극톤
+ 늘 무능한건 경찰이란 클리셰는 그렇다쳐도 막판엔 그저 헛웃음만",부정
영화보고 밥먹고 커피마시고 산책해요,2,"더 리얼 했어야 했다.  본인을 완전히 오픈해 더 나아가 페이크 다큐와 유사한 영화로 제작했다면 이 영화의 특징이 더 잘 살지 않았을까?
대중들이 익히 알고 있는 스크린 속 황정민의 이미지만 보일 뿐이다.",부정
박서하,2.5,배우의 고생을 최대한 과시하려는 강박.,중립
Dh,3,"어이 브라더, 돈만 내놔 살려는 드릴께
  나쁘지 않은 선택과 접근. 다만, 갠적으로 악역 배우들 연기가 다소 아쉽다
#드루와 이쒸 (리얼하게)
#롯데시네마",긍정
뭅먼트,1.5,그럴싸한 컨셉의 뒤꽁무니를 쫓아가기에만 급급한 영화.,부정
이건영(everyhuman),2.5,드루온 것은 쉬이 나가지 못한다.,중립
윤제아빠,2.5,"분명히 뭔가를 더 기대했는데 익숙한 맛에 더이상 찾지않을 맛집의 허무함.
.
.
#현실과영화를아우른대범함이
#현실과영화를양분화한실수로",중립
황재윤,3,죽기살기로 뛰는 황정민을 보는 것은 언제나 즐겁구나.,긍정
리얼리스트,3,"어이 정민 부라더 행님 ..
영화가 아주 실감나고 죽여주는구만유..",긍정
CHAEYOOE,2.5,어디선가 많이 본 캐릭터의 전형성이 어디서 못 본 얼굴들의 신선함을 누른다.,중립
석미인,3,이미 잡혀와 있는 애도 한통속이고 나중에 직쏘로 밝혀지는 거 영화 국룰 아니었낭. 또 헛다리 짚었네 헤헤,긍정
언논논,2,#NAME?,부정
다솜땅,3.5,"진짜 황정민의 배우가 자신이름으로 등장하는 영화 ㅋ
시작은 그럴듯 했는데…  지날 수록 ""아. 역시 영화구나'
라는 느낌을 지울수가 없다 ㅎㅎ
모두 수고하셨어요 ㅎㅎ
#21.12.12 (1363)",긍정
Random cul,2,"신박한 소재.
도입부는 빨려들어가나
갈수록 막장의 수준이 많이 어이가 없다.
주인공은 찰떡같이 어울리나
범인이고 경찰이고 강해보이려는 연기?와
과한 설정들이 정말 보기힘들다....
황정민만 황정민했다.",부정
인생은 한편의 영화,3,"황정민만 보인다 너무 황정민 스럽다.
그래도 좋았다 황정민이라",긍정
Zut,3,아니 그냥 총을 쏘라고... 사제 총기 들고 있는 놈들한테도 총을 안 쏘면 어떡해,긍정
Jay Oh,3,"황정민일 필요는 없었지만, 황정민이라 다행이었던. 그래도 더 리얼했다면 어땠을까.
A one-man show, one-man concept.",긍정
martie,3,황정민이 아니었다면 그저그런 범죄물이었을 듯  생각보다 폭력적인장면들이 많다  관전포인트는 황정민인데 그의 맛깔나는 연기들을 즐겨볼 수는 없었다 ㅜ  그냥 열심히 벗어나려는 모습?   <곡성>의 무당역이 훨씬 흡입력있었다,긍정
주령,2.5,"영화의 최초 편집본이었던 청불버전은 과연 어느 정도였을까
이거보다 독했다 이거지...

'배우' 황정민은 영화를 살렸지만
실존 인물 '황정민'은 영화의 한계를 가져온다.",중립
김병우,3.5,캐스팅과 리얼리티가 일궈낸 가장 특별한 성과.,긍정
수진,3,하드보일드 황정민의 혼신의 힘을 다한 고군분투.,긍정
차지훈,3,"인제
질리는 캐릭터들의 나열과 그 과도한 폭력. 딱 그만큼.",긍정
P1,3,박성웅: 정민이형 뭐야?ㅋㅋ 뭐 납치라도 당했어?ㅋㅋㅋㅋ하 이거원~,긍정
팬서,2.5,종점에 도착하고 나서 돌아보니 정작 이야기를 받쳐줘야 했던 인상적 설정은 잊힌지 오래.,중립
임판호,2.5,"호기롭게 시작하고 이다지도 진부할수가.
덧! 러닝이 94분이라는게 아쉬울 줄 알았는데 차라리 다행이었다.
덧덧! 뒷자리 앉은 커플 작작 좀 떠듭시다. 전세가 아니라 자가인줄 알겠어..보고 나온 사람들 다 그쪽 욕하면서 나옵디다.",중립
