사용자,평점,댓글 내용
쨍하고 해뜰 날,1.5,"박훈정의 가장 큰 문제는 오리지널리티가 전혀 없다는 것이다. 데뷔작 '혈투'부터 후쿠모토 노부유키의 만화책 '고백'을 대놓고 표절을 했다

아니 세상에 어떤 모지리가 자신의 입봉작 부터 표절을 할까 싶지만 박훈정은 깡도 좋게 무단표절을 했다

그것도 모잘라서 '무간도'와 '흑사회'의 중요 설정을 한국식으로 비벼서 만든게 '신세계'다.

그 이후에도 기타노 다케시 감독의 영화들을 베껴서 짜집기 수준으로 만든게 '낙원의 밤'이다

이외에도 그가 연출한 모든 영화들 '마녀', '대호', 'VIP' 또한 수많은 영화와 소설에서 대놓고 레퍼런스를 가져왔다

김지운 감독을 좋아하지는 않지만 그럼에도 그는 창작자로써의 최소한의 양심을 지키고 있다고 생각한다

그가 매번 새로운 장르 영화(공포,웨스턴.느와르)를 찍을 때 마다, 기존의 장르적 관습을 차용하지만 그 안에서 장르적인 이해를 보여줄려고 애쓴 흔적이 뭍어난다

그러나 데뷔작부터 패기좋게 표절을 일삼은 박훈정은 그딴거 없다 새로운 차기작을 찍을 때마다 다른 영화들의 설정을 티가 안나게끔, 도둑질하는 실력만 늘고 있다 바늘도둑이 어느새 소도둑이 되어 버렸다

쿠엔틴 타란티노는 수많은 영화에서 레퍼런스를 가져와서 자기만의 스타일로 재창조를 했지만 박훈정 감독은 조선 스타일로 걍 무단표절을 일삼고 있다

이딴 놈이 영화감독을 하고 있다. 한국영화의 현주소라고 봐도 무방할듯. 영화계의 유희열같은 존재다. 박훈정이 찍은 영화에 유희열이 음악을 맡았으면 좋겠다"
신상훈남,4.5,"김선호의 못된 미소를 마주한 순간부터 난 이 영화에 빠져들었던 것 같다.

이제 알겠다. 박훈정 감독은 하나에 꽂히면 그것만 실행한다. 그는 각성한 주인공이 (무조건 후반부 하이라이트 액션신에서 각성해야 함) 홀로 다수의 조직원들에 맞서 싸우는 것을 좋아하게 됐으며, 전투 도중 필요 이상으로 피칠갑을 하게 된 섬뜩한 모습, 푸른 새벽빛에 반사되는 고요한 숲의 향기라든지 일상에서는 온화한 미소를 짓다가도 전투만 시작되면 정색을 하는 주인공까지. 이 말고도 많다. 이제는 칼과 총을 사용하는 액션신은 필수 요소이며, 무조건 잔인해야 한다. 인간의 살을 깊이 파고드는 피비린내는 <신세계>때부터 지금까지 한 편도 빠짐없이 계속되고 있다. 이제, 그의 영화는 뻔하다. 다 보인다. 어떻게 전개되고, 어떤 상황이 펼쳐질지 다 보인다.

""개인적인 감정은 없어. 우린 프로고, 이건 비즈니스.""

영화는 분명 내가 예상한 것과 크게 다름이 없었고 영화의 맛도 '늘 먹던 맛'이었지만 난 이상하리만큼 이 영화를 재밌게 보았다. 박훈정 감독은 영화의 정교한 서사나 극강의 재미로 승부를 보는 스타일이 아니었다. 특유의 짙은 여운과 영화가 끝나고 되새김질하게 되는 부분들이 영화가 계속해서 생각나게 만들고, 이런 점들이 시간이 지나도 그의 영화가 다시 보고 싶고, 앞으로의 영화를 계속해서 보게 만들 수 있는 큰 매력이었다. 소재는 어디선가 본 듯한, 그리 튀지 않는 것이었지만 각본이나 분위기 연출만큼은 독특한 색깔을 띠고 있는 작품이었다.

""지그재그로 뛰어요. 그래야 총알 맞을 확률이 적어요.""

아무리 생각해도 영화가, 되게 매력적이었다. 해가 희미하게 뜨기 시작할 즈음의 새벽에, 홀로 울창한 숲을 보며, 담배 한 개비를 태우며, 들숨에 담배의 일산화탄소와 숲의 피톤치드를 곁들이며 이 영화를 보면 진짜 그게 천국일 것 같다는 생각이 들었다. 거기에 빨대 꽂고 병코카콜라에, 벤츠 타고 창문 열고, 어디 가지도 않으면서 맞춤정장까지 입고 있으면 금상첨화. 극한으로 몰입할 수 있는 환경을 관객 스스로가 조성할 수 있고, 선택할 수 있다면 그것이야말로 즐길 요소가 많은 영화라고 생각한다.

[이 영화의 명장면 📽️]

1. 광기의 추격전

살다 살다 이런 추격전은 또 처음 본다. 비 내리던 어둠의 추격전에서 비가 그치고 하늘이 갠 상황에서 맑은 추격이 재개된다. 보통 상황이었으면, 적당히 추격당하는 자와, 추격자의 묘한 유대감이 생성되기 마련인데 정말 미친 듯이 질주해대는 둘의 뜀박질에 무심코 '그냥 좀 잡혀줬으면'하는 염원이 들었다. '살고자 하는 욕구'와, '무조건 잡아낼 거라는 확신'이 제대로 붙는 장면. 피멍투성이 된 채로 살고 싶다고 발버둥치는 것과, 미소를 지으며 온갖 멋을 부리는 것. 그리고 어둠의 긴장감을 포기하고 밝은 대낮에 벌어지는 숨막히는 추격전, 육탄전에서 우위를 점하는 추격당하는 자. 늘 자신만의 틀 안에서 모든 것을 행했던 박훈정 감독이 이 장면만큼은 추격전의 클리셰를 완전히 박살내버렸다.

""적당히 하시지 정말. 내 차 저거 어떻게 할 거야.""

2. 피칠갑의 프로

'이 상황을 어떻게 헤쳐나갈까' 매력적인 주인공이 위험에 처하는 상황은 항상 두렵다. 이 걱정은 <존 윅> 시리즈에서도 똑같이 느꼈다. 칼이 아닌 수많은 총구들이 그를 겨누고 있을 때의 긴장감. 도무지 탈출구란 보이지 않는 시점에, 박훈정 감독은 '이 때다 싶어' 관객들에게 '스트레스 해소' 시간을 준다. 느슨한 후방을 노리는 적의 움직임까지 신경쓰는 귀공자의 전투 디테일이 좋았고, 두 번 다시는 일어날 수 없게 확인 사살까지 (한 번 타격해도 될 걸 굳이 위험을 감수하면서까지 확실하게 처리)하는 모습이 정말 프로 같았다. 피칠갑은 역시나 이번 작품에서도 빠지지 않는다.

""삥 뜯기는 게 낫지 않겠어? 죽는 것보다는.“

정말 다 좋았지만 종반부의 여백이 너무 필요 이상으로 많지 않았나 싶고, 진중했던 영화의 전체적 분위기가 엔딩 부분에서 너무 익살스럽게 변하는 것도 마음에 들지를 않았다.

배우들의 연기도, 영화의 분위기도, 내 취향과 너무 잘 맞아서
아마 당분간은 이 영화의 여운에서 쉽게 벗어나지 못 할 것 같다
또 지인들에게 ""나 프로잖아~"" 이러면서 허세를 부리고 다닐
내 모습에
벌써부터 진절머리 난다"
재원,2,"거참. 쏠 거면 좀 쏘고, 죽일 거면 좀 죽이든가.
표적 앞에서 뭐 저렇게 나불나불 말들이 많은지.
그리고 장르에 코미디라고 써붙여도 됐겠구만,
반전이 아주 쌩뚱맞은 코미디네 이거."
케빈,1.5,<신세계>는 그저 뽀록이었다는 것을 다시 한번 확인시켜 준다
캡틴부메랑,N/A,이 형 진짜 귀공자랑 영어대사에 진심이네
BIGMAC_bro,3.5,"개인적으론 <존윅4>를 볼때 귀공자의 분위기를 내면서
쎈척만 오지게하고 정작 액션이 없었던 빌 스카스가드의
케릭터가 너무 아쉬웠는데, 김선호의 케릭터가 그 아쉬움을
조금은 채워주네 ㅎ

곱게자란 부잣집 도련님처럼 생겨가지고 스스럼없이 악당들을
죽이거나, 고통스러워 하는 상대를 보며 순박해보이는 미소를
지을때의 분위기가 양면적인 느낌이었음.

기존의 무겁던 박훈정식 느와르에 코믹요소가 포함된,
전체적으로 많이 무겁지 않은 분위기의 영화여서 색달랐다.
근데 나쁘지가 않네??

허당끼가 있지만 실력은 뛰어난 해결사인 김선호의 케릭터도
만화주인공 같고 좋았다. 배우의 분위기와 페이스가 잘 어울리는 느낌이어서 스크린 데뷔로는 강렬한 느낌.

신인배우인 강태주 역시 좋았는데, 의외로 대사보단 도망씬이
많아 약간 아쉽기도 ㅎㅎ

전체적으론 후반부의 액션씬이 조금만 합이 더 느껴지는
연출이었으면 어땠을까 하는 마음도 든다.

박훈정 감독의 영화는 전반적으로 잘 맞았어서 몰입해서
재밌게 봤음. 호불호는 좀 갈릴 것 같다.

*생각보다 덜 잔인함.
왜 청불이지… 15세여도 괜찮을것 같은데 ㅎ"
망고무비,N/A,“그렇게 웃지마!” - 더 글로리 시즌2 중에서.
Dh,2.5,"시간 넘쳐나는 전문가의 친구 만들기
#다사다난
#CGV"
윤제아빠,2.5,"신세계를 보았다 생각했는데
허세쩌는 디스토피아 일줄은
.
.
#이제그만구름위에서내려와
#현실에서할일찾는게나을듯
#근데김선호는좀많이귀엽네
#신세계이후다거기서거기네"
쨍하고 해뜰 날,1.5,"박훈정의 가장 큰 문제는 오리지널리티가 전혀 없다는 것이다. 데뷔작 '혈투'부터 후쿠모토 노부유키의 만화책 '고백'을 대놓고 표절을 했다

아니 세상에 어떤 모지리가 자신의 입봉작 부터 표절을 할까 싶지만 박훈정은 깡도 좋게 무단표절을 했다

그것도 모잘라서 '무간도'와 '흑사회'의 중요 설정을 한국식으로 비벼서 만든게 '신세계'다.

그 이후에도 기타노 다케시 감독의 영화들을 베껴서 짜집기 수준으로 만든게 '낙원의 밤'이다

이외에도 그가 연출한 모든 영화들 '마녀', '대호', 'VIP' 또한 수많은 영화와 소설에서 대놓고 레퍼런스를 가져왔다

김지운 감독을 좋아하지는 않지만 그럼에도 그는 창작자로써의 최소한의 양심을 지키고 있다고 생각한다

그가 매번 새로운 장르 영화(공포,웨스턴.느와르)를 찍을 때 마다, 기존의 장르적 관습을 차용하지만 그 안에서 장르적인 이해를 보여줄려고 애쓴 흔적이 뭍어난다

그러나 데뷔작부터 패기좋게 표절을 일삼은 박훈정은 그딴거 없다 새로운 차기작을 찍을 때마다 다른 영화들의 설정을 티가 안나게끔, 도둑질하는 실력만 늘고 있다 바늘도둑이 어느새 소도둑이 되어 버렸다

쿠엔틴 타란티노는 수많은 영화에서 레퍼런스를 가져와서 자기만의 스타일로 재창조를 했지만 박훈정 감독은 조선 스타일로 걍 무단표절을 일삼고 있다

이딴 놈이 영화감독을 하고 있다. 한국영화의 현주소라고 봐도 무방할듯. 영화계의 유희열같은 존재다. 박훈정이 찍은 영화에 유희열이 음악을 맡았으면 좋겠다"
